COMPANY_NAME,TRUSTSCORE,REVIEW_COUNT,LOCATION,WEBSITE_URL,REVIEWS
Nestlé Danmark,1.7,30,,http://www.nestle.dk,"[{'author': 'Arturas As', 'rating': 1, 'review_text': ""How's going bussines in (r)ussia???"", 'experienced_on': None, 'country': 'DK'}, {'author': 'Max', 'rating': 1, 'review_text': 'Nestlé uses slaves, takes water from the people just to sell it back to them (if they can afford it that is).\nthey are everything that is wrong with capitalism.', 'experienced_on': None, 'country': 'DK'}, {'author': 'Mattias', 'rating': 1, 'review_text': 'Supports fascism.', 'experienced_on': None, 'country': 'SE'}, {'author': 'Marlene', 'rating': 5, 'review_text': 'a very nice company that provides an awesome products', 'experienced_on': None, 'country': 'PH'}, {'author': 'PARKING15', 'rating': 1, 'review_text': 'A regional department of a business that exploits child labour, the environment and ultimately oppresses the economy by buying customers.', 'experienced_on': None, 'country': 'GB'}, {'author': 'Football Radio Channel', 'rating': 4, 'review_text': 'Good company', 'experienced_on': None, 'country': 'ID'}, {'author': 'Daniel Bieze', 'rating': 5, 'review_text': 'U are a good company', 'experienced_on': None, 'country': 'US'}]"
Nestlé : Home,3.7,1,India,http://www.nestle.in,"[{'author': 'Vijay Pratap Singh', 'rating': 5, 'review_text': '5 star rating for food, confectionary, coffee Nescafe, maggi, sausage, kitkat, Milkybar, munch, milkmaid, everyday. \nHealthy & Nutritious products. Thanks for Bar One.', 'experienced_on': '2023-05-05T00:00:00.000Z', 'country': 'IN'}]"
Nestlé,3.0,6,,http://nestle.it,"[{'author': 'Forza Salernitana', 'rating': 3, 'review_text': 'buoni prodotti ma su alcuni nutro qualche riserbo… ad esempio le zone di produzione del cioccolato perche non sono facilmente identificabili? qualita comunque veramente buona dei prodotti per la prima colazione la consiglio', 'experienced_on': '2023-07-14T00:00:00.000Z', 'country': 'IT'}, {'author': 'Alessandro', 'rating': 2, 'review_text': 'Mi è venuto in mente andando al centro commercialedi acquistare una bella confezione di pizza ""Bella Napoli"", per metterla al forno in seratavisto che non lavevo mai assaggiata, la pizza come pasta si è cotta bene, ma il gusto non aveva nulla a che fare con la pizza forse non hanno azzeccato gli ingredienti. Piaciuta poco', 'experienced_on': None, 'country': 'IT'}, {'author': 'Omar Anania', 'rating': 1, 'review_text': 'Sono un goloso di cioccolato galak e ogni Pasqua compro e mi regalano uova galak, ma è già da un paio di anni che i miei figli aprono le uova e trovano sempre (sottolineo sempre) la.stessa sorpresa ""tessere Memory"". Oggi abbiamo aperto tre uova e tutte tre hanno le stesse tessere, ora la mia domanda è: o la Nestlè è priva di inventiva o ci vogliono prendere per fessi! Penso proprio di non prenderle più!', 'experienced_on': '2023-04-02T00:00:00.000Z', 'country': 'IT'}, {'author': 'nikolai shurkalin', 'rating': 1, 'review_text': 'Come avete osato commercializzare pizze con E. Coli?! Andate per sempre in carcere!!', 'experienced_on': None, 'country': 'IT'}, {'author': 'Andrea Andrea', 'rating': 1, 'review_text': 'Continua a finanziare la guerra di putin con la sua presenza in russia. Vergogna.', 'experienced_on': None, 'country': 'IT'}, {'author': 'Sabina Trinchero', 'rating': 4, 'review_text': ""Ottimi prodotti, un po' cari ma buoni"", 'experienced_on': '2023-01-31T23:00:00.000Z', 'country': 'IT'}]"
Nestlé,3.2,3,,http://nestle.com,"[{'author': 'Filipe Iglésias', 'rating': 1, 'review_text': 'Not trustfull company, no principles or social responsability.', 'experienced_on': None, 'country': 'PT'}]"
nestlesalute.it,2.8,3,,http://nestlesalute.it,"[{'author': 'Simona', 'rating': 1, 'review_text': ""Sono almeno 2 settimane che è impossibile loggarsi per ordinare. Ho dovuto fare l'ordine, con difficoltà, senza accedere al mio profilo. Come indirizzo di spedizione ho messo quello del corriere per avere il fermo deposito, come ho sempre fatto, ma nell'ordine definitivo come indirizzo di spedizione appare quello di fatturazione. L'assistenza in chat, quando si riesce a parlarci, non sanno neanche loro che dire. Mai vista una cosa del genere in un e-commerce."", 'experienced_on': None, 'country': 'IT'}, {'author': 'Domenico', 'rating': 1, 'review_text': ""A parte la solita lentezza nel gestire ordini e spedizioni, da quando hanno creato il nuovo sito (dal 01/06/2022) non è possibile effettuare ordini né da parte del diretto interessato né da parte dell'assistenza (N.B.: l'assistenza non risponderà mai se la contattate per mail). Va bene che ci sono sconti (oltretutto notevolmente ridotti col nuovo sito), ma non è possibile essere una grande multinazionale ed avere più problemi del sito online della mia farmacia di quartiere.\nPotrei dilungarmi ancora, ma non ho voglia di perdere altro tempo."", 'experienced_on': None, 'country': 'IT'}, {'author': 'Roberto Paci', 'rating': 1, 'review_text': ""Per la mia esperienza non sono in grado di gestire gli ordini in modo efficiente. Trattandosi di ordini di prodotti per utilizzo medico non fa piacere vederseli consegnati con una velocità da bradipo. E' vero che è possibile ottenere sconti interessanti ma resta il problema che sono un disastro nel gestirne la spedizione.  Una qualsiasi farmacia online è in grado di fornire un servizio migliore."", 'experienced_on': None, 'country': 'IT'}]"
Nestledessertsarabia,3.6,1,United States,http://nestledessertsarabia.com,"[{'author': 'Selina Ivan', 'rating': 4, 'review_text': 'I Bought a lazy cake recipe very well explained had a great experience with customer service when i had overpaid for a order they helped me get the money back', 'experienced_on': '2023-05-19T00:00:00.000Z', 'country': 'IN'}]"
Nestlestockexchange,3.7,1,United States,http://www.nestlestockexchange.com,"[{'author': 'sparkling bryms', 'rating': 5, 'review_text': 'Its a reliable and trusted company i enjoy trading and investing with them', 'experienced_on': '2023-06-08T00:00:00.000Z', 'country': 'CA'}]"
Nestlebaby,4.2,6,Sweden,http://nestlebaby.se,"[{'author': 'Isabell', 'rating': 5, 'review_text': 'Nan Pro har varit med oss ända sedan min sons födelse. Och nu när han börjat äta mat så är det ju helt suveränt att kunna använda sig av den även till hans måltider! Upplever också att han känner sig mättare längre när han dricker denna dryck till. 10 av 10 😍', 'experienced_on': '2023-08-24T00:00:00.000Z', 'country': 'SE'}, {'author': 'Josefin Gustafsson', 'rating': 5, 'review_text': 'Vi har använt NAN PRO till båda mina barn och älskar att man kan fortsätta med NAN PRO 3 även fast yngsta sonen blivit äldre. Hans lycka när han ser sin flaska med NAN pro går inte att beskriva! Den är en del av vårt kvällsmys!', 'experienced_on': '2023-08-19T00:00:00.000Z', 'country': 'SE'}, {'author': 'Sandra Natalie', 'rating': 5, 'review_text': 'Nan 3 är fantastisk! Barnen tycker om den, det är bra med näring och tetra-förpackningarna är sååå perfekta vid resa. Rekommenderas varmt från en fyrbarnsmamma! 🙌🏼', 'experienced_on': '2023-08-20T00:00:00.000Z', 'country': 'ES'}, {'author': 'Jacqueline Alfengård Edström', 'rating': 5, 'review_text': 'Vi har provat Nan genom hela min sons liv och det har alltid fungerat bra. Nan pro 3 är så himla smidig att ha med sig som redan är färdigblandad mjölkdryck. Jag är verkligen så tacksam för den här produkten!', 'experienced_on': '2023-08-06T00:00:00.000Z', 'country': 'SE'}, {'author': 'Hanna Erlandsson', 'rating': 5, 'review_text': 'Nan pro 3 är en av våra favoritprodukter när det kommer till ersättning! Perfekt att den även finns färdigblandad så man kan ha med den när man är ute och reser.', 'experienced_on': '2023-08-04T00:00:00.000Z', 'country': 'SE'}, {'author': 'Sabina', 'rating': 5, 'review_text': 'Min son har testat Nan PRO 3 under en tid och han dricker alltid en flaska innan han ska sova. Han blir mätt, sover gott och får i sig flera bra näringsämnen. En favorit!', 'experienced_on': '2023-08-02T00:00:00.000Z', 'country': 'SE'}]"
Nestlebornemad,4.2,6,,http://nestlebornemad.dk,"[{'author': 'Stine Vestergaard Jensen', 'rating': 5, 'review_text': 'Vi har brugt NAN PRO 2 som supplement siden vores datter var 6 måneder. Hun elsker det, både i koppen men også i hendes grød og mos. For os er det uundværligt i hverdagen.', 'experienced_on': '2023-08-15T00:00:00.000Z', 'country': 'DK'}, {'author': 'Mark Ramirez-Andreasen', 'rating': 1, 'review_text': 'VI har igennem land, samlet point sammen, så vi kunne få en ting fra Nestlé i deres pointshop. Det har kostet os penge og ikke mindste tid at gøre dette. Vi bestilte tilbage i November måned et produkt, som i dag (21-12) stadigvæk ikke er kommet. Vi har prøvet at være i dialog med Nestlé, som blot smider al ansvar fra dem selv, og ikke ønsker at hjælpe os. Det er komplet bondefangeri og falsk reklame. Jeg kan i den grad ikke rekommandere folk, at bruge deres pointshop. Føj et selskab og føj en service.', 'experienced_on': None, 'country': 'DK'}, {'author': 'Rie Lauritzen ', 'rating': 1, 'review_text': 'Jeg har samlet point til pointshoppen de sidste 18 mdr. Og med et flaskebarn er det blevet til mange bøtter/kartonner med MME.\nVed 1. bestilling i deres pointshop, kom efter 4 uger, men varen var ikke den jeg havde bestilt. Ved 2. bestilling, lagt for 5 uger siden, er den ikke kommet og får nu af vide at de ikke vil ""lede"" efter min ordre, da jeg IKKE har gemt kvitteringerne fra alle de nestle produkter jeg har købt til min søn de sidste 18 mdr.\n\nDet er SIMPELTHEN så småligt! aldrig har jeg oplevet en virksomhed gå i SÅ små sko. Vi kunder ligger flere 1.000 kroner hos nestle hvert år og når vi så vil udløse vores point og få en sølle gave til en værdi a 2-300 kr. så kan vi pludselig ikke det!! I SKULLE SKAMME JER !!', 'experienced_on': None, 'country': 'DK'}, {'author': 'pia', 'rating': 1, 'review_text': 'I december 2015 bestilte vi bestik over pointshoppen. Det er stadig ikke kommet. Har haft skrevet en mail. Hvor I svarede at det var på vej. Sendte en ny mail, hvor vi intet svar fik. Nu har vi sendt en til,som jeg håber I svarer på.\nOpdateret d.31/08-16 \nJa vi venter stadig og i svarer aldrig på vores mail. Det er for dårligt', 'experienced_on': None, 'country': 'DK'}, {'author': 'Tilde', 'rating': 4, 'review_text': 'Har kun være positiv over produkterne og har altid oplevet god service', 'experienced_on': None, 'country': 'DK'}, {'author': 'Flemming Erichsen', 'rating': 1, 'review_text': 'sur børnepulver nan 2 købt i Føtex uspiselig', 'experienced_on': None, 'country': 'DK'}]"
Nestlé,1.5,177,Denmark,http://www.nestlenordic.com,"[{'author': 'Nikki Hickford', 'rating': 1, 'review_text': ""What has happened with your Cereal?? Golden nuggets now tasteless! You have removed literally all the sugar and increased the price. Won't be buying again."", 'experienced_on': '2023-07-01T00:00:00.000Z', 'country': 'GB'}, {'author': 'Jakub', 'rating': 3, 'review_text': ""I bought Cini Minis cereal.\nI find them tasteless. They are edible, but I thought that at such a price, which is higher than the competition, I can expect more.\nI am disappointed. I prefer the competition, which is cheaper and tastier.\nI also don't like them very much with milk, most of the sugar and cinnamon from these cereals fall off when I soak them in milk and remain at the bottom of the bowl. After that, I only eat tasteless cereal. And finally, I eat sweet milk with cinnamon from cereal without cereal."", 'experienced_on': '2023-05-28T00:00:00.000Z', 'country': 'SK'}, {'author': 'Elin', 'rating': 1, 'review_text': ""A profit oriented company who doesn't care about ethics or the environment. They've used slaves and child labor in their plantations. And they pollute the planet like crazy. I've also heard about dogs that died from eating purina dog food.. apparently that food contained things that aren't supposed to be in food. So in conclusion.. Nestlé doesn't care about you, your pets, your family or anyones well-being."", 'experienced_on': None, 'country': 'SE'}, {'author': 'Timothy', 'rating': 1, 'review_text': 'They own readyrefresh. Readyrefresh is a scam. If you call to complain about not getting your water delivery there is a 5.00 fee to talk to customer service if they even respond. They will continue to bill you even if you canceled their service. I’m still battling them after two months. They keep canceling pick up but still charging us rental fee. We need a class action lawsuit against this company. Looking for a great lawyer to take up this case as they will win. Horrible service. Predatory billing. Deceptively billing. Unethical. Please any attorney’s looking to force this company to stop being unethical is needed. You will win as they are so shady they make a ponzu scam look like a good thing.', 'experienced_on': '2022-09-11T00:00:00.000Z', 'country': 'US'}, {'author': 'Bando Fundz', 'rating': 1, 'review_text': 'Draining the water bed dry by drilling boring holes over 60ft down for their bottled water, leaving natural springs and streams to dry and cease to exist forever. BOYCOTT NESTLE, PRINCES GATE WATER AND ALL THEIR OTHER PRODUCTS', 'experienced_on': '2022-08-29T00:00:00.000Z', 'country': 'GB'}, {'author': 'Shaun Marrison', 'rating': 1, 'review_text': 'Nestle refuse to pull out of Russia and will continue to pay taxes from sales to Putin to kill Ukrainians.\nNestle Press Release 23rd March 2022...""As the war rages in Ukraine, our activities in Russia will focus on providing essential food""\n#BoycottNestlé', 'experienced_on': None, 'country': 'GB'}, {'author': 'Kris Dingus', 'rating': 1, 'review_text': ""One of the worst companies to ever exist, they steal fresh water to profit, use child slaves to profit and sell poor countries baby formula that is detrimental to their health. I'd pay to see this company go down the toilet and have their leaders arrested. Scum."", 'experienced_on': None, 'country': 'GB'}, {'author': 'Moneypulation King', 'rating': 1, 'review_text': 'This company supports and condones terrorism, it continues to send its products to Russian.... Nestle loves blood money\nHonestly it should have been a easy option tk cease operations in Russia but the greed of humans never ceases to amaze\nAbsolutle scumbag will not purchase another nestle product again', 'experienced_on': None, 'country': 'GB'}, {'author': 'Sheila', 'rating': 5, 'review_text': ""I've just finished my first box of KitKat cereal - it will certainly NOT be my last.\n\nMost cereals are soggy by the time you've eaten half a bowlful. These stay crunchy and tasty to the very last one. All other chocolate cereals I've had turn the milk brown and, to me, unpalatable. KitKat doesn't do this at all.\n\nI'm impressed. Thank you - delicious!"", 'experienced_on': '2023-04-22T00:00:00.000Z', 'country': 'GB'}, {'author': 'Jayne Winter', 'rating': 1, 'review_text': 'I bought a tube of orange smarties for my 15 year old daughter & my Niece to share ... inside was a dead wasp!! Just thankful my daughter poured the content into her hand and not directly into her mouth!! \n\nI emailed Nestle to advise them of this.. I’m now in week 3, numerous emails later and still have had no acceptable reply to my concerns only 2 emails to advise ... we will forward onto the relevant department.\n\nTotally unacceptable replies & customer service is appauling... \n\nUnhappy customer is an understatement... still waiting for my reply...', 'experienced_on': None, 'country': 'GB'}, {'author': 'Hoggarth', 'rating': 1, 'review_text': 'Corrupt and Thieving.\nSelling cereals with competitions that are out of date by 4 months !!!!!!\nChildren eager to enter but competitions closed.\nDECEIVING COMPANY\nCOMPLAINT MADE BUT ATTITUDE OF NESTLE STINKS WITH IGNORANCE.\nAVOID THIS COMPANY.', 'experienced_on': '2022-09-01T00:00:00.000Z', 'country': 'GB'}, {'author': 'l allison', 'rating': 1, 'review_text': 'DID YOU ALL KNOW NESTLE USES BIOENGINEERED INGREDIENTS IN THEIR TOLL HOUSE MORSELS AND THEY HAVE THE AUDACITY TO PROCLAIM: NESTLE, GOOD FOOD GOOD LIFE-REALLY NESTLE? METHINKS YOU DO NOT SPEAK THE TRUTH-BIOENGINEERED IS NEVER ANY GOOD OR HEALTHY. YOU LOST A CUSTOMER. WILL NEVER BUY ANY OF YOUR PRODUCTS EVER AGAIN. SHAME ON YOU, PART OF FAMILIES FOR YEARS AND YOU FEED US THIS CRAP.', 'experienced_on': None, 'country': 'US'}, {'author': 'Eric Husser', 'rating': 1, 'review_text': 'hot pockets had an issue no recourse except \nthrowing them out so we collectively should eat the 4 million in loss for 750,000 lbs in defective  products do these companies think we are made out of money', 'experienced_on': None, 'country': 'US'}, {'author': 'Javier Novas', 'rating': 1, 'review_text': ""Received a container full of cock roaches. I was able to contain it so the roaches wouldn't scatter around my house. Luckily my wife noticed as she cleaned the dirty water device they sent us.\nThey over priced us for quiet some time with no sort of discounts.\nNow I’m trying to cancel my account and they are still trying to deliver water after 4 months of canceling them and I can’t close my account because I need to wait for a week day.\nDO NOT USE THEM!!  Buy yourself a filtration system."", 'experienced_on': None, 'country': 'US'}, {'author': 'Wanda Behrendt', 'rating': 1, 'review_text': ""I am a health care worker and only can drink my coffee with coffee mate, asked nestle if I could buy direct because non in the shops. I'm out there looking after the sick and old and they said no to allowing me to buy some in these horrendous times heart broken"", 'experienced_on': None, 'country': 'GB'}, {'author': 'Kevin Farrell', 'rating': 1, 'review_text': ""Nestle is helping fuel the war in Ukraine by selling it's goods in Russia, they pay around 500m taxes that Putin can use to carry on the slaughter in Ukraine, please think before buying any Nestle product while they still pay taxes in Russia."", 'experienced_on': None, 'country': 'GB'}, {'author': 'Arvin A', 'rating': 1, 'review_text': 'Supports Russia in the ongoing war against Ukraine. This is not the first time this company has choosen not be decent, just google their scandals. I’m wondering what else they do behind the curtains that we don’t see.', 'experienced_on': None, 'country': 'SE'}, {'author': 'Paul Johnson', 'rating': 1, 'review_text': ""This poison pushing company are equally as guilty as big pharma in poisoning the public.\nDon't consume their products if you value your health.\nDemonic and satanic corporation."", 'experienced_on': '2022-10-08T00:00:00.000Z', 'country': 'GB'}, {'author': 'CandyCane', 'rating': 5, 'review_text': 'Thank you nestle for bringing out a box of Fruit cremes, I bought one of your new Quality Street fruit cremes, which consist only of thee flavours which are Strawberry Delight, Orange cremes and Lemon Zing (which I hadn’t had before but it is delicious ). Every Christmas when we bought the quality street tubs, the cremes always went first. We are so pleased we can now buy boxes of just the cremes.', 'experienced_on': None, 'country': 'US'}, {'author': 'Joseph Diaz', 'rating': 1, 'review_text': 'Contrary to corporate America’s beliefs, slavery leaves a bad aftertaste. Nestle has been engaging in child slavery in West Africa, and they’ve faced no repercussions. Don’t buy the products of slavery.', 'experienced_on': None, 'country': 'US'}]"
Nestlé Professional,3.2,1,United Kingdom,http://nestleprofessional.co.uk,"[{'author': 'Phia Astrea', 'rating': 1, 'review_text': ""Please do not feel inferior if this company disregards you, I arrived to attend a registration day through a company called PMP recruitment which caused me nothing but hastle and pain. PMP called me to attend and arranged an appointment and asked me to gather certain items to bring along with me, after preparing and taking time out of my days they then called me to say my appointment was cancelled. Disheartened I accepted the fact until I received a message confirming my appointment, I went out of my own way to contact them to see what was going on they confirmed I had an appointment.\n\nI prepared and set off 30 minutes early on the day, an accident happened on the roads causing major traffic build up, I arrived on time at the wrong entrance unfortunately, I asked the gate keeper at Nestle Ltd York to contact main reception he did not, he just said I would have to walk around to the other side making me 15 minutes late. I arrived the gate keeper at main reception allowed me through, I got to main reception to fill out a sign in sheet and got given a visitor pass to be told someone would collect me, after 10 minutes a woman from PMP came up to me and said sorry I don't have time to take you across you will have to leave and come back another day. After travelling and preparing and being messed around I left disheartened and upset I felt useless. So I then contacted Nestle to voice my opinion they then apologised and said their recruitment team would contact me, they did not then they said PMP would contact me after being made aware of how they previously treated me, not a professional company at all."", 'experienced_on': None, 'country': 'GB'}]"
Nestlemall,0.0,0,United States,http://nestlemall.vip,[]
Nestlepurelife,0.0,0,United States,http://www.nestlepurelife.com,[]
nestle.co.nz,0.0,0,,http://nestle.co.nz,[]
nestle.jp,0.0,0,Japan,http://nestle.jp,[]
ネスレ,0.0,0,,http://nestle.co.jp,[]
Nestlé Australia,0.0,0,,http://nestle.com.au,[]
Nestlé Argentina,0.0,0,Argentina,http://nestle.com.ar,[]
Nestlenutritionstore.com,0.0,0,,http://www.nestlenutritionstore.com,[]
